date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:07	32/32	---M--	200	added ('OK')	text/plain	etag:%2220-509e69613875d%22	http://geedmo.com/robots.txt		(from )
22:28:07	5607/5607	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:03%20GMT	http://geedmo.com/?item=Wintermin	C:/My%20Web%20Sites/admin/geedmo.com/indexd066.html	(from )
22:28:08	2731/2731	---M-Z	200	added ('OK')	application/javascript	etag:%22aab-5096a3420a23f-gzip%22	http://geedmo.com/conmutador/script.js	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/script.js	(from http://geedmo.com/?item=Wintermin)
22:28:08	5318/5318	---M-Z	200	added ('OK')	text/css	etag:%2214c6-5096a3ddd8d97-gzip%22	http://geedmo.com/conmutador/styles.css	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/styles.css	(from http://geedmo.com/?item=Wintermin)
22:28:08	1456/1456	---M--	200	added ('OK')	image/png	etag:%225b0-4ff614aa6d112%22	http://geedmo.com/conmutador/logo.png	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/logo.png	(from http://geedmo.com/?item=Wintermin)
22:28:09	5471/5471	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2010%20Jun%202015%2003:28:04%20GMT	http://geedmo.com/	C:/My%20Web%20Sites/admin/geedmo.com/index.html	(from http://geedmo.com/?item=Wintermin)
22:28:09	66332/66332	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:05%20GMT	http://geedmo.com/themeforest/wintermin/dashboard.html	C:/My%20Web%20Sites/admin/geedmo.com/themeforest/wintermin/dashboard.html	(from http://geedmo.com/?item=Wintermin)
22:28:10	5562/5562	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:05%20GMT	http://geedmo.com/?item=47Admin	C:/My%20Web%20Sites/admin/geedmo.com/index9e5d.html	(from http://geedmo.com/?item=Wintermin)
22:28:10	5584/5584	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:05%20GMT	http://geedmo.com/?item=Singular	C:/My%20Web%20Sites/admin/geedmo.com/index8c85.html	(from http://geedmo.com/?item=Wintermin)
22:28:10	5552/5552	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:06%20GMT	http://geedmo.com/?item=Boske	C:/My%20Web%20Sites/admin/geedmo.com/indexfe3f.html	(from http://geedmo.com/?item=Wintermin)
22:28:11	5553/5553	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:07%20GMT	http://geedmo.com/?item=Sesamo	C:/My%20Web%20Sites/admin/geedmo.com/indexdb99.html	(from http://geedmo.com/?item=Wintermin)
22:28:11	3144/3144	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c48-4ff614adf04ed%22	http://geedmo.com/conmutador/fonts/icomoon.eot?vv64xh	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/fonts/icomoon2f66.eot	(from http://geedmo.com/conmutador/styles.css)
22:28:11	5510/5510	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:06%20GMT	http://geedmo.com/?item=Tale	C:/My%20Web%20Sites/admin/geedmo.com/index3d70.html	(from http://geedmo.com/?item=Wintermin)
22:28:11	5583/5583	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:07%20GMT	http://geedmo.com/?item=Elemento	C:/My%20Web%20Sites/admin/geedmo.com/index1921.html	(from http://geedmo.com/?item=Wintermin)
22:28:12	3144/3144	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c48-4ff614adf04ed%22	http://geedmo.com/conmutador/fonts/icomoon.eot?	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/fonts/icomoond41d.eot	(from http://geedmo.com/conmutador/styles.css)
22:28:12	5546/5546	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:08%20GMT	http://geedmo.com/?item=Plan	C:/My%20Web%20Sites/admin/geedmo.com/index4ea3.html	(from http://geedmo.com/?item=Wintermin)
22:28:12	2520/2520	---M--	200	added ('OK')	application/x-font-woff	etag:%229d8-4ff614af2b45b%22	http://geedmo.com/conmutador/fonts/icomoon.woff?vv64xh	C:/My%20Web%20Sites/admin/geedmo.com/conmutador/fonts/icomoon2f66.woff	(from http://geedmo.com/conmutador/styles.css)
22:28:12	5558/5558	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:08%20GMT	http://geedmo.com/?item=Dropper	C:/My%20Web%20Sites/admin/geedmo.com/index17dc.html	(from http://geedmo.com/?item=Wintermin)
22:28:12	5615/5615	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:28:08%20GMT	http://geedmo.com/?item=LushSlider	C:/My%20Web%20Sites/admin/geedmo.com/indexaaa5.html	(from http://geedmo.com/?item=Wintermin)
