date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:37	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202015%2017:43:31%20GMT	http://lambdathemes.in/robots.txt		(from )
12:43:38	2918/2918	---M-Z	200	added ('OK')	text/html	etag:%22b66-55b14f71-86b076a8d7814a8%22	http://lambdathemes.in/	Modern/Modern/lambdathemes.in/index.html	(from )
12:43:43	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221ca39-554f9d66-b93c75a48c8d74c7%22	http://lambdathemes.in/css/bootstrap.min.css	Modern/Modern/lambdathemes.in/css/bootstrap.min.css	(from http://lambdathemes.in/)
12:43:47	2451/2451	---M-Z	200	added ('OK')	text/css	etag:%22993-55732220-da991b1d9cc260bb%22	http://lambdathemes.in/css/component.css	Modern/Modern/lambdathemes.in/css/component.css	(from http://lambdathemes.in/)
12:44:10	1147/1147	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202015%2017:44:08%20GMT	http://lambdathemes.in/admin1	Modern/Modern/lambdathemes.in/admin1.3.delayed	(from http://lambdathemes.in/)
12:44:29	1147/1147	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202015%2017:44:26%20GMT	http://lambdathemes.in/admin2	Modern/Modern/lambdathemes.in/admin2.5.delayed	(from http://lambdathemes.in/)
12:44:51	69856/69856	---M-Z	200	added ('OK')	text/html	etag:%22110e0-55b37944-8e7e135bb0603909%22	http://lambdathemes.in/admin1/	Modern/Modern/lambdathemes.in/admin1/index.html	(from http://lambdathemes.in/)
12:44:58	132291/132291	---M--	200	added ('OK')	image/png	etag:%22204c3-554f9d3f-cb6ba4b4198a84e9%22	http://lambdathemes.in/img/admin1.png	Modern/Modern/lambdathemes.in/img/admin1.png	(from http://lambdathemes.in/)
12:45:06	63059/63059	---M-Z	200	added ('OK')	text/html	etag:%22f653-55b14cac-57215cea468475f3%22	http://lambdathemes.in/admin2/	Modern/Modern/lambdathemes.in/admin2/index.html	(from http://lambdathemes.in/)
12:45:08	1147/1147	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202015%2017:45:08%20GMT	http://lambdathemes.in/landing	Modern/Modern/lambdathemes.in/landing.7.delayed	(from http://lambdathemes.in/)
12:45:09	104280/104280	---M--	200	added ('OK')	image/png	etag:%2219758-5551f08a-a762410c0aec31f4%22	http://lambdathemes.in/img/admin2.png	Modern/Modern/lambdathemes.in/img/admin2.png	(from http://lambdathemes.in/)
12:45:11	29559/29559	---M-Z	200	added ('OK')	text/html	etag:%227377-558e5e57-401bb897347b89ea%22	http://lambdathemes.in/landing/	Modern/Modern/lambdathemes.in/landing/index.html	(from http://lambdathemes.in/)
12:45:13	1147/1147	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Sep%202015%2017:45:12%20GMT	http://lambdathemes.in/simple_showcase	Modern/Modern/lambdathemes.in/simple_showcase.9.delayed	(from http://lambdathemes.in/)
12:45:18	8337/8337	---M-Z	200	added ('OK')	text/html	etag:%222091-558e6200-2b8b37c33ef317c5%22	http://lambdathemes.in/simple_showcase/	Modern/Modern/lambdathemes.in/simple_showcase/index.html	(from http://lambdathemes.in/)
12:45:19	35951/35951	---M-Z	200	added ('OK')	application/javascript	etag:%228c6f-554f9d58-f138d34ee5fc969f%22	http://lambdathemes.in/js/bootstrap.min.js	Modern/Modern/lambdathemes.in/js/bootstrap.min.js	(from http://lambdathemes.in/)
12:45:22	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-554f9d69-7212d23ff05745f7%22	http://lambdathemes.in/fonts/glyphicons-halflings-regular.eot	Modern/Modern/lambdathemes.in/fonts/glyphicons-halflings-regular.eot	(from http://lambdathemes.in/css/bootstrap.min.css)
12:45:23	18028/18028	---M--	200	added ('OK')	text/plain	etag:%22466c-554f9d6e-b9b0669eecb2009d%22	http://lambdathemes.in/fonts/glyphicons-halflings-regular.woff2	Modern/Modern/lambdathemes.in/fonts/glyphicons-halflings-regular.woff2	(from http://lambdathemes.in/css/bootstrap.min.css)
12:45:26	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-554f9d6d-fd59ad64e3d0f281%22	http://lambdathemes.in/fonts/glyphicons-halflings-regular.woff	Modern/Modern/lambdathemes.in/fonts/glyphicons-halflings-regular.woff	(from http://lambdathemes.in/css/bootstrap.min.css)
12:45:29	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a8c2-554f9d6b-d83080abd9003a19%22	http://lambdathemes.in/fonts/glyphicons-halflings-regular.svg	Modern/Modern/lambdathemes.in/fonts/glyphicons-halflings-regular.svg	(from http://lambdathemes.in/css/bootstrap.min.css)
12:45:36	352449/352449	---M--	200	added ('OK')	image/png	etag:%22560c1-554f9d53-b02eab3eea8d32dc%22	http://lambdathemes.in/img/landing.png	Modern/Modern/lambdathemes.in/img/landing.png	(from http://lambdathemes.in/)
12:45:38	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-554f9d69-7212d23ff05745f7%22	http://lambdathemes.in/fonts/glyphicons-halflings-regular.eot?	Modern/Modern/lambdathemes.in/fonts/glyphicons-halflings-regulard41d.eot	(from http://lambdathemes.in/css/bootstrap.min.css)
12:45:41	2191/2191	---M-Z	200	added ('OK')	text/css	etag:%2288f-55b149f9-60807540d7161bfa%22	http://lambdathemes.in/admin1/assets/plugins/pace-master/themes/blue/pace-theme-flash.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/pace-master/themes/blue/pace-theme-flash.css	(from http://lambdathemes.in/admin1/)
12:45:49	8337/8337	---M-Z	200	added ('OK')	text/css	etag:%222091-55b14960-284e9881187bebd2%22	http://lambdathemes.in/admin1/assets/plugins/uniform/css/uniform.default.min.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/uniform/css/uniform.default.min.css	(from http://lambdathemes.in/admin1/)
12:45:54	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-55b148d9-f329ae485ee9445c%22	http://lambdathemes.in/admin1/assets/plugins/bootstrap/css/bootstrap.min.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://lambdathemes.in/admin1/)
12:45:55	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%22704b-55b148f7-d774693a8407e171%22	http://lambdathemes.in/admin1/assets/plugins/fontawesome/css/font-awesome.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/fontawesome/css/font-awesome.css	(from http://lambdathemes.in/admin1/)
12:45:56	11032/11032	---M-Z	200	added ('OK')	text/css	etag:%222b18-55b148a2-691ce8c3046427ec%22	http://lambdathemes.in/admin1/assets/plugins/line-icons/simple-line-icons.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/line-icons/simple-line-icons.css	(from http://lambdathemes.in/admin1/)
12:45:58	1991/1991	---M-Z	200	added ('OK')	text/css	etag:%227c7-55b14925-898f7812cf23a1ef%22	http://lambdathemes.in/admin1/assets/plugins/offcanvasmenueffects/css/menu_cornerbox.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/offcanvasmenueffects/css/menu_cornerbox.css	(from http://lambdathemes.in/admin1/)
12:46:00	3251/3251	---M-Z	200	added ('OK')	text/css	etag:%22cb3-55b148c5-3062c7b126dd2329%22	http://lambdathemes.in/admin1/assets/plugins/waves/waves.min.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/waves/waves.min.css	(from http://lambdathemes.in/admin1/)
12:46:03	472/472	---M-Z	200	added ('OK')	text/css	etag:%221d8-55b148bf-71aeaa066c6d8d4a%22	http://lambdathemes.in/admin1/assets/plugins/switchery/switchery.min.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/switchery/switchery.min.css	(from http://lambdathemes.in/admin1/)
12:46:06	11254/11254	---M-Z	200	added ('OK')	text/css	etag:%222bf6-55b148d0-fec2380bb4b9a0ed%22	http://lambdathemes.in/admin1/assets/plugins/3d-bold-navigation/css/style.css	Modern/Modern/lambdathemes.in/admin1/assets/plugins/3d-bold-navigation/css/style.css	(from http://lambdathemes.in/admin1/)
