date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:14	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202015%2003:53:10%20GMT	http://ahmad.works/robots.txt		(from )
22:53:16	64965/64965	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202015%2003:53:09%20GMT	http://ahmad.works/bostan/	C:/My%20Web%20Sites/web/ahmad.works/bostan/index.html	(from )
22:53:17	42/42	---M-Z	200	added ('OK')	text/plain	date:Wed,%2010%20Jun%202015%2003:53:12%20GMT	http://ahmad.works/bostan/xmlrpc.php	C:/My%20Web%20Sites/web/ahmad.works/bostan/xmlrpc.php	(from http://ahmad.works/bostan/)
22:53:18	9214/9214	---MCZ	200	added ('OK')	text/css	etag:W/%221408d1-2f81-50c1793d07e68%22	http://ahmad.works/bostan/wp-content/themes/bostan/framework/aqua/assets/css/aqpb-view.css?ver=1433908389	C:/My%20Web%20Sites/web/ahmad.works/bostan/wp-content/themes/bostan/framework/aqua/assets/css/aqpb-viewed41.css	(from http://ahmad.works/bostan/)
22:53:18	25955/25955	---M-Z	200	added ('OK')	text/xml	date:Wed,%2003%20Dec%202014%2022:38:34%20GMT	http://ahmad.works/bostan/feed/	C:/My%20Web%20Sites/web/ahmad.works/bostan/feed/index.html	(from http://ahmad.works/bostan/)
22:53:18	939/939	---MCZ	200	added ('OK')	text/css	etag:W/%22180421-44f-51390bad44c5c%22	http://ahmad.works/bostan/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.1.1	C:/My%20Web%20Sites/web/ahmad.works/bostan/wp-content/plugins/contact-form-7/includes/css/styles0235.css	(from http://ahmad.works/bostan/)
22:53:19	10264/10264	---M-Z	200	added ('OK')	text/xml	date:Sat,%2018%20May%202013%2023:20:52%20GMT	http://ahmad.works/bostan/comments/feed/	C:/My%20Web%20Sites/web/ahmad.works/bostan/comments/feed/index.html	(from http://ahmad.works/bostan/)
22:53:19	1042/1042	---M-Z	200	added ('OK')	text/xml	date:Sat,%2018%20May%202013%2023:20:52%20GMT	http://ahmad.works/bostan/new-home/feed/	C:/My%20Web%20Sites/web/ahmad.works/bostan/new-home/feed/index.html	(from http://ahmad.works/bostan/)
22:53:19	40476/40476	---MCZ	200	added ('OK')	text/css	etag:W/%22182b19-d789-5138778973754%22	http://ahmad.works/bostan/wp-content/plugins/revslider/rs-plugin/css/settings.css?ver=4.6.5	C:/My%20Web%20Sites/web/ahmad.works/bostan/wp-content/plugins/revslider/rs-plugin/css/settings1dc6.css	(from http://ahmad.works/bostan/)
22:53:19	2246/2246	---MCZ	200	added ('OK')	text/css	etag:W/%22182c1f-c4c-50c17943bcf10%22	http://ahmad.works/bostan/wp-content/plugins/wp-syntax/css/wp-syntax.css?ver=1.0	C:/My%20Web%20Sites/web/ahmad.works/bostan/wp-content/plugins/wp-syntax/css/wp-syntax5152.css	(from http://ahmad.works/bostan/)
